MeV,barns
3.12E-05,9.93619
3.13E-05,9.59562
3.15E-05,8.72497
3.16E-05,8.4056
3.16E-05,8.15127
3.17E-05,7.91517
3.17E-05,7.64179
3.18E-05,7.32521
3.18E-05,6.61563
3.19E-05,6.48322
3.19E-05,6.41073
3.19E-05,6.36211
3.19E-05,6.35159
3.19E-05,6.3648
3.19E-05,6.41028
3.19E-05,6.49164
3.19E-05,6.61365
3.19E-05,6.78074
3.20E-05,6.99675
3.20E-05,7.26464
3.20E-05,7.47304
3.20E-05,7.78004
3.20E-05,8.12751
3.20E-05,8.57706
3.20E-05,9.07524
3.20E-05,9.80551
3.20E-05,10.8191
3.21E-05,12.8307
3.21E-05,13.7621
3.21E-05,14.5128
3.21E-05,15.0059
3.21E-05,15.3231
3.21E-05,15.7537
3.21E-05,16.0242
3.21E-05,16.2131
3.22E-05,16.3223
3.22E-05,16.3559
3.22E-05,16.2941
3.22E-05,16.1282
3.22E-05,15.7878
3.22E-05,15.1842
3.23E-05,13.8802
3.23E-05,13.3034
3.23E-05,12.8064
3.24E-05,12.3867
3.24E-05,12.0225
3.24E-05,11.6967
3.25E-05,11.3362
3.25E-05,10.9378
3.26E-05,10.609
3.26E-05,10.2372
3.27E-05,9.75787
3.29E-05,8.96051
3.30E-05,8.51158
3.31E-05,8.14589
3.31E-05,7.82016
3.32E-05,7.41706
3.32E-05,6.87234
3.33E-05,6.72371
3.33E-05,6.64598
3.33E-05,6.61788
3.33E-05,6.6178
3.33E-05,6.64113
3.33E-05,6.71332
3.33E-05,6.81488
3.33E-05,6.94165
3.33E-05,7.10821
3.34E-05,7.31892
3.34E-05,7.57783
3.34E-05,7.77901
3.34E-05,8.13555
3.34E-05,8.55125
3.34E-05,9.02754
3.34E-05,9.56447
3.34E-05,10.0984
3.34E-05,10.678
3.34E-05,11.6255
3.34E-05,12.7299
3.35E-05,14.7621
3.35E-05,16.4773
3.35E-05,17.798
3.35E-05,18.6694
3.35E-05,19.4451
3.35E-05,20.0807
3.35E-05,20.5353
3.35E-05,20.8577
3.36E-05,21.0613
3.36E-05,21.1438
3.36E-05,21.1452
3.36E-05,21.0533
3.36E-05,20.8487
3.36E-05,20.5434
3.36E-05,19.9394
3.36E-05,19.2235
3.37E-05,17.7548
3.37E-05,16.1401
3.37E-05,15.0442
3.37E-05,14.2977
3.37E-05,13.6241
3.37E-05,13.0238
3.38E-05,12.4928
3.38E-05,12.0245
3.38E-05,11.6109
3.38E-05,11.1305
3.38E-05,10.7149
3.38E-05,10.297
3.39E-05,9.78641
3.39E-05,9.24597
3.41E-05,7.00521
3.41E-05,6.73327
3.41E-05,6.59022
3.41E-05,6.51584
3.41E-05,6.47936
3.41E-05,6.47707
3.42E-05,6.50561
3.42E-05,6.55852
3.42E-05,6.64279
3.42E-05,6.7621
3.42E-05,6.92008
3.42E-05,7.12911
3.42E-05,7.38723
3.42E-05,7.69746
3.42E-05,8.06216
3.42E-05,8.51751
3.42E-05,9.03826
3.42E-05,9.66758
3.43E-05,10.3672
3.43E-05,11.1313
3.43E-05,12.1211
3.43E-05,13.7132
3.43E-05,16.4964
3.43E-05,17.6848
3.43E-05,18.5627
3.44E-05,19.4124
3.44E-05,20.1277
3.44E-05,20.5516
3.44E-05,20.8972
3.44E-05,21.1294
3.44E-05,21.2234
3.44E-05,21.1612
3.44E-05,20.9644
3.44E-05,20.6476
3.44E-05,20.2034
3.45E-05,19.6673
3.45E-05,18.8491
3.45E-05,15.7125
3.45E-05,14.7487
3.46E-05,13.8353
3.46E-05,13.1744
3.46E-05,12.5858
3.46E-05,12.0775
3.46E-05,11.6287
3.46E-05,11.1683
3.46E-05,10.8229
3.47E-05,10.5244
3.47E-05,10.27
3.47E-05,9.98178
3.47E-05,9.78128
3.47E-05,9.6571
3.48E-05,9.60387
3.48E-05,9.60244
3.48E-05,9.62699
3.48E-05,9.73004
3.49E-05,9.92496
3.49E-05,9.9812
3.49E-05,9.98276
3.49E-05,9.95474
3.49E-05,9.88902
3.50E-05,9.88722
3.50E-05,9.91952
3.50E-05,10.0157
3.50E-05,10.1786
3.50E-05,10.3696
3.50E-05,10.6262
3.50E-05,10.9572
3.50E-05,11.3699
3.50E-05,11.8706
3.50E-05,12.3687
3.51E-05,12.9352
3.51E-05,13.5704
3.51E-05,14.2733
3.51E-05,15.3115
3.51E-05,16.3164
3.51E-05,17.3947
3.51E-05,19.337
3.52E-05,24.2743
3.52E-05,26.1286
3.52E-05,27.6611
3.52E-05,28.8355
3.52E-05,29.791
3.52E-05,30.4588
3.52E-05,31.0037
3.52E-05,31.535
3.52E-05,31.8454
3.53E-05,31.9453
3.53E-05,31.852
3.53E-05,31.5882
3.53E-05,31.1802
3.53E-05,30.3588
3.53E-05,29.3679
3.54E-05,25.8314
3.54E-05,24.3109
3.55E-05,23.0692
3.55E-05,22.0552
3.55E-05,21.0976
3.55E-05,20.303
3.56E-05,19.4728
3.56E-05,18.7808
3.56E-05,18.1705
3.57E-05,17.6498
3.57E-05,16.9971
3.58E-05,16.4605
3.59E-05,15.8766
3.59E-05,15.4335
3.61E-05,14.8693
3.62E-05,14.2915
3.63E-05,13.8756
3.64E-05,13.4268
3.66E-05,12.9814
3.69E-05,12.4869
3.73E-05,11.8113
3.78E-05,11.1967
3.81E-05,10.6951
3.81E-05,10.6373
3.82E-05,10.626
3.82E-05,10.6461
3.84E-05,10.8203
3.84E-05,10.833
3.85E-05,10.792
3.85E-05,10.6691
3.86E-05,10.3914
3.87E-05,9.99739
3.88E-05,9.66016
3.89E-05,9.36398
3.89E-05,9.01633
3.90E-05,8.50357
3.91E-05,8.02179
3.91E-05,7.85389
3.92E-05,7.7839
3.92E-05,7.77655
3.92E-05,7.79226
3.92E-05,7.83687
3.92E-05,7.91665
3.92E-05,8.03831
3.92E-05,8.20887
3.92E-05,8.39774
3.92E-05,8.69349
3.92E-05,9.01557
3.93E-05,9.40008
3.93E-05,9.84999
3.93E-05,10.3668
3.93E-05,10.8892
3.93E-05,11.4642
3.93E-05,12.3077
3.93E-05,13.3893
3.93E-05,14.6373
3.94E-05,17.9683
3.94E-05,19.2177
3.94E-05,20.0939
3.94E-05,20.9828
3.94E-05,21.6211
3.94E-05,22.1318
3.95E-05,22.4173
3.95E-05,22.6006
3.95E-05,22.6896
3.95E-05,22.63
3.95E-05,22.3848
3.95E-05,21.9793
3.95E-05,21.4495
3.96E-05,20.5213
3.96E-05,18.1044
3.96E-05,17.2591
3.97E-05,16.5063
3.97E-05,15.8515
3.97E-05,15.2914
3.97E-05,14.7328
3.97E-05,14.2491
3.98E-05,13.8476
3.98E-05,13.5323
3.98E-05,13.3032
3.99E-05,13.144
4.00E-05,12.9735
4.00E-05,12.8608
4.01E-05,12.628
4.02E-05,12.2012
4.03E-05,11.5392
4.03E-05,11.3454
4.04E-05,11.209
4.04E-05,11.1598
4.04E-05,11.1549
4.04E-05,11.1912
4.05E-05,11.342
4.06E-05,11.5382
4.06E-05,11.6058
4.06E-05,11.6104
4.07E-05,11.5753
4.07E-05,11.4443
4.11E-05,10.5125
4.11E-05,10.3203
4.12E-05,10.2255
4.14E-05,10.1389
4.15E-05,10.0397
4.16E-05,9.84396
4.16E-05,9.83992
4.17E-05,9.86058
4.17E-05,9.91201
4.17E-05,10.0055
4.17E-05,10.1517
4.17E-05,10.361
4.17E-05,10.6425
4.17E-05,11.0027
4.17E-05,11.4448
4.18E-05,11.9675
4.18E-05,12.5642
4.18E-05,13.2229
4.18E-05,16.0067
4.19E-05,16.7814
4.19E-05,17.3886
4.19E-05,17.7821
4.19E-05,18.0291
